type;neighbourhood;sentence;source;hour;day;impact_type
impact;;The most vulnerable areas are located in the Centre city district, but also in the East, West and South district crowdedness and nuisance are increasing.;Amsterdam Municipality, 2022;;;nuisance
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;23;Friday;
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;0;Friday;
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;1;Friday;
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;2;Friday;
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;23;Saturday;
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;0;Saturday;
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;1;Saturday;
moment;;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2022;2;Saturday;
place;Burgwallen-Oude Zijde;Crowdmanagment is applied on Friday- and Saturday nights in the Red Light District to control the pressure.;Amsterdam Municipality, 2023;;;
place;Burgwallen-Oude Zijde;Mbarki says that they will continue with the measures that have been taken, like the “smoking-ban” and early closing time for the Red Light District, that seem to have a positive effect;;;;
place;Oosterparkbuurt;Oosterpark, the Jordaan, De Pijp, the Dapperbuurt and Vondelpark see more pressure on their liveability.;David Hielkema, 2024;;;
place;Jordaan;Oosterpark, the Jordaan, De Pijp, the Dapperbuurt and Vondelpark see more pressure on their liveability.;David Hielkema, 2024;;;
place;Oude Pijp;Oosterpark, the Jordaan, De Pijp, the Dapperbuurt and Vondelpark see more pressure on their liveability.;David Hielkema, 2024;;;
place;Nieuwe Pijp;Oosterpark, the Jordaan, De Pijp, the Dapperbuurt and Vondelpark see more pressure on their liveability.;David Hielkema, 2024;;;
place;Dapperbuurt;Oosterpark, the Jordaan, De Pijp, the Dapperbuurt and Vondelpark see more pressure on their liveability.;David Hielkema, 2024;;;
place;Vondelparkbuurt;Oosterpark, the Jordaan, De Pijp, the Dapperbuurt and Vondelpark see more pressure on their liveability.;David Hielkema, 2024;;;
impact;;Oosterpark, the Jordaan, De Pijp, the Dapperbuurt and Vondelpark see more pressure on their liveability.;David Hielkema, 2024;;;nuisance
impact;;People just walk past each other and don’t recognize each other, that is the ugly thing.;Slapend Rijk – VPRO Tegenlicht, 2016;;;familiarity
impact;;Back in the day we used to look out on each other, this is totally gone.;Slapend Rijk – VPRO Tegenlicht, 2016;;;familiarity
impact;;Every house that’s taken away from the housing supply for holiday rental costs the local economy approximately $250,000.;Slapend Rijk – VPRO Tegenlicht, 2016;;;economy
impact;;Outside it’s only noise noise and screaming and shouting.;Slapend Rijk – VPRO Tegenlicht, 2016;;;nuisance
impact;;An unstable neighbourhood attracts problems like drug dealers, public drunkenness and disruption of public order.;Slapend Rijk – VPRO Tegenlicht, 2016;;;nuisance
impact;;It has gotten extremely busy in the last few years;Slapend Rijk – VPRO Tegenlicht, 2016;;;
place;Haarlemmerbuurt;The following scene shows a meeting of the residents platform of the Haarlemmerbuurt. “We were so done with it…;Slapend Rijk – VPRO Tegenlicht, 2016;;;
moment;;Its very clear, on Thursday the trolley cases come in, and they leave on Sunday evening or Monday morning. Tuesday and Wednesday we have the quietest nights.;Slapend Rijk – VPRO Tegenlicht, 2016;;Thursday;
moment;;Its very clear, on Thursday the trolley cases come in, and they leave on Sunday evening or Monday morning. Tuesday and Wednesday we have the quietest nights.;Slapend Rijk – VPRO Tegenlicht, 2016;;Friday;
moment;;Its very clear, on Thursday the trolley cases come in, and they leave on Sunday evening or Monday morning. Tuesday and Wednesday we have the quietest nights.;Slapend Rijk – VPRO Tegenlicht, 2016;;Saturday;
moment;;Its very clear, on Thursday the trolley cases come in, and they leave on Sunday evening or Monday morning. Tuesday and Wednesday we have the quietest nights.;Slapend Rijk – VPRO Tegenlicht, 2016;;Sunday;
